BOARD,NAME,ADDRESS_AB,POSTAL_COD,CITY,PROVINCE,PHONE_NO,FAX_NO,EMAIL,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,GLOBAL_ID,POINT,Ward Boundaries 2 2,City Quadrants 2 2,Calgary Communities 2 2,Ward Boundaries 2013-2017 2 2,CALGIS CENSUS COMMUNITY DIST 2015 Shape File 2 2
The Calgary School Division,Nose Creek School,135 Covepark Sq NE,T3K5W9,Calgary,AB,(403) 817-3360,,,Elementary/Junior High,N,N,Y,Y,N,{E181F136-91B4-4A85-9CB4-1E8DB73D9020},POINT (-114.0606997 51.1671496),11,4,251,12,8
The Calgary Roman Catholic Separate School Division,St. Michael School,4511 - 8 Avenue S.W.,T3C0G9,Calgary,AB,(403) 500-2021,,stmichael@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{3DF180B9-EFF9-4963-8B2D-CBCDF00D6577},POINT (-114.1515775 51.0447849),14,1,281,2,36
Almadina School Society,"Almadina Language Charter Academy, Mountain View Campus",2031 Sable Drive S.E.,T2B1R9,Calgary,AB,(403) 543-5074,,,Elementary,N,N,Y,N,N,{904C8D65-C76D-4C04-A0D5-0B56606C0820},POINT (-113.986831 51.0322005),12,3,15,11,49
The Calgary Roman Catholic Separate School Division,St. Henry Elementary School,7423 - 10 Street N.W.,T2K1H5,Calgary,AB,(403) 500-2059,,sthenry@cssd.ab.ca,Elementary,N,N,Y,N,N,{50D8B5FA-6C5E-4005-B2AF-F0555AC06D1D},POINT (-114.0801778 51.1175975),2,2,261,4,158
The Calgary School Division,CLS Alternative Site,45 Saddletowne Circle NE,T3J4W3,Calgary,AB,(403) 777-7272,,chinooklearning@cbe.ab.ca,Unknown,N,N,N,N,N,{562D0E70-E68F-43CA-A9FF-43341DCFE645},POINT (-113.9488457 51.1219806),9,4,180,1,184
The Calgary School Division,Rosedale School,905 13 Ave NW,T2M0G3,Calgary,AB,(403) 777-7530,,rosedale@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{D309125F-3C91-464C-8251-75BFF794EF31},POINT (-114.0814991 51.0635971),7,2,219,7,144
The Calgary Roman Catholic Separate School Division,St. Patrick School,6006 Rundlehorn Drive N.E.,T1Y2X1,Calgary,AB,(403) 500-2076,,stpatrick@cssd.ab.ca,Elementary,N,N,Y,N,N,{4E6D7B24-861E-4D31-9F08-F40294117C79},POINT (-113.9467028 51.07199),9,4,36,3,294
The Calgary School Division,Woodman School,8706 Elbow Dr SW,T2V1L2,Calgary,AB,(403) 777-7490,,woodman@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{6D4ADD34-78DE-45BA-9D42-9BF2A9A8D83A},POINT (-114.083213 50.9756583),8,1,195,5,167
The Palliser School Division,Trinity Christian School,"#100, 295 Midpark Way S.E.",T2X2A8,Calgary,AB,(403) 254-6682,,,Elementary/Junior High,N,N,Y,Y,N,{D69D01DB-945F-4DC8-8B4A-75D10FE6FCB7},POINT (-114.0622367 50.9093283),6,3,263,13,161
The Calgary School Division,Tom Baines School,250 Edgepark Blvd NW,T3A3S2,Calgary,AB,(403) 777-7190,,tombaines@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{4EA3F2CF-7203-494E-AA94-8070440910F0},POINT (-114.1569935 51.1335144),2,2,272,4,59
The Calgary School Division,Discovering Choices II,#101 495 36 ST NE,T2A6K3,Calgary,AB,(403) 777-8384,,discoveringchoices@cbe.ab.ca,Senior High,N,N,N,N,Y,{1B730C63-EE22-4C5E-9577-14B69366CFC1},POINT (-113.9849703 51.056524),12,4,84,3,213
Access International College (Calgary) Incorporated,Access Academy,B1 - 2451 Dieppe Avenue S.W.  Box 100,T3E7K1,Calgary,AB,(403) 455-3033,,info@accessacademy.ca,Junior High/Senior High,N,N,N,Y,Y,{E06B0CF5-BCC0-4826-BBBF-1747C33CB9C1},POINT (-114.1190388 51.0192866),8,1,199,2,50
The Calgary School Division,Colonel J. Fred Scott School,171 Whitehorn Rd NE,T1Y3C4,Calgary,AB,(403) 777-6710,,coloneljfredscott@cbe.ab.ca,Elementary,N,N,Y,N,N,{C5EFEBD8-C23A-49AD-9D67-0196C0037819},POINT (-113.9681644 51.0877669),9,4,145,3,251
The Calgary Roman Catholic Separate School Division,Our Lady of the Rosary School,41 Cranston Gate SE,T3M0W7,Calgary,AB,(403) 500-2126,,ourladyrosary@cssd.ab.ca,Elementary,N,N,Y,N,N,{C912C9B0-1C66-4E33-99A5-E11D6F75C36E},POINT (-113.9682061 50.8744292),4,3,294,8,82
Connect Charter School Society,Connect Charter School,5915 Lewis Drive S.W.,T3E5Z4,Calgary,AB,(403) 282-2890,,office@connectcharter.ca,Elementary/Junior High,N,N,Y,Y,N,{84B5954B-CF1F-4024-84C4-66644A4AC014},POINT (-114.1357584 51.0003735),8,1,129,5,266
The Calgary School Division,Captain Nichola Goddard School,405 Panatella Blvd NW,T3K0P3,Calgary,AB,(403) 817-3300,,CaptainNicholaGoddard@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{C98CDB1E-0E83-43A0-A340-33F40D1C13CD},POINT (-114.0886788 51.1624509),11,2,235,12,95
The Calgary Roman Catholic Separate School Division,St. Joan of Arc Elementary/Junior High School,7970 Wentworth Drive SW,T3H0K2,Calgary,AB,(403) 500-2107,,st.joanofarc@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{4B579E6D-1952-4C72-BA04-BE4F7EB09309},POINT (-114.2072404 51.0571247),1,1,114,14,194
The Calgary School Division,Scenic Acres School,50 Scurfield Way NW,T3L1T2,Calgary,AB,(403) 777-6193,,scenicacres@cbe.ab.ca,Elementary,N,N,Y,N,N,{41969CEE-5B46-4867-8ACA-642C9AF8FA10},POINT (-114.2156566 51.1200891),13,2,148,9,48
The Calgary School Division,Coventry Hills School,12350 Coventry Hills Way NE,T3K5S9,Calgary,AB,(403) 777-6025,,coventryhills@cbe.ab.ca,Elementary,N,N,Y,N,N,{297C49A5-00C8-478E-A363-07ABACF5951D},POINT (-114.0514137 51.1651804),11,4,251,12,8
The Calgary Roman Catholic Separate School Division,St. Philip School,13825 Parkside Drive S.E.,T2J5A8,Calgary,AB,(403) 500-2072,,stphilip@cssd.ab.ca,Elementary,N,N,Y,N,N,{251BA84D-C496-4264-AD58-A082D24DFFCD},POINT (-114.0382746 50.9278826),6,3,117,13,261
,ALBERTA UNIVERSITY OF THE ARTS,,T2N4R3,Calgary,AB,(403) 284-7600,,infodesk@auarts.ca,,Y,Y,,,,{D5224E6A-49B0-4BE8-98EB-46CD537C6403},POINT (-114.0916052 51.0620065),7,2,40,7,285
The Calgary School Division,Banting and Best School,1819 66 Avenue SE,T2C2K5,Calgary,AB,(403) 777-8650,,bantingandbest@cbe.ab.ca,Elementary,N,N,Y,N,N,{06838B27-E429-4A86-A289-B6B5C341BA73},POINT (-114.0138538 50.993726),10,3,28,11,242
The Calgary School Division,Radisson Park School,2805 Radcliffe Dr SE,T2A0C8,Calgary,AB,(403) 777-8070,,radissonpark@cbe.ab.ca,Elementary,N,N,Y,N,N,{66BBCA43-DB67-48D7-8DF0-A25003A8AFD4},POINT (-113.992233 51.0461614),12,3,121,11,264
Westmount Charter School Society,Westmount Elementary School,728 - 32 Street NW,T2N2V9,Calgary,AB,(403) 217-0426,,ecadmin@westmountcharter.com,Elementary,N,N,Y,N,N,{C09FE6D9-70F3-420A-BB31-B9A54C20FC6C},POINT (-114.1314284 51.0581476),7,2,91,7,214
The Calgary School Division,West Dalhousie School,6502  58 St NW,T3A2C8,Calgary,AB,(403) 777-6110,,westdalhousie@cbe.ab.ca,Elementary,N,N,Y,N,N,{D0FBF1CB-A3FD-4D29-A2D6-DE702BCE74C3},POINT (-114.1695389 51.1111682),7,2,38,4,260
The Calgary School Division,Falconridge School,1331 Falconridge Dr NE,T3J1T4,Calgary,AB,(403) 777-6730,,falconridge@cbe.ab.ca,Elementary,N,N,Y,N,N,{963BF274-FB57-4303-9039-B3ABA367841B},POINT (-113.9454326 51.0993641),9,4,56,1,278
The Calgary School Division,Elbow Park School,721  38 Ave SW,T2T2H8,Calgary,AB,(403) 817-3408,,elbowpark@cbe.ab.ca,Elementary,N,N,Y,N,N,{DEEBC047-2FD9-41DF-9D0C-5AD8B2B35433},POINT (-114.082197 51.0195775),8,1,70,5,75
The Calgary School Division,Terry Fox School,139 Falshire Dr NE,T3J1P7,Calgary,AB,(403) 777-8800,,terryfox@cbe.ab.ca,Junior High,N,N,N,Y,N,{73914DD7-672B-47B5-859A-8514AF1C7D2C},POINT (-113.945104 51.1046569),9,4,56,1,278
River Valley School Society,River Valley School ECS,3127 Bowwood Drive N.W.,T3B2E7,Calgary,AB,(403) 246-2275,,info@rivervalleyschool.ca,Unknown,N,N,N,N,N,{4B51FD04-19E2-45F9-B9E4-0EF56AE6EE65},POINT (-114.1743441 51.0794694),13,2,149,9,77
,UNIVERSITY OF CALGARY - MAIN CAMPUS - MACEWAN STUDENT CENTRE,,,Calgary,AB,(403) 210-7625,,,,Y,Y,,,,{4A76546B-3C4A-407C-984D-8FB5E3A191CA},POINT (-114.1317144 51.0782092),13,2,287,7,179
The Calgary School Division,Alex Munro School,427 78 Ave NE,T2K0R9,Calgary,AB,(403) 777-6600,,alexmunro@cbe.ab.ca,Elementary,N,N,Y,N,N,{DAD62086-8D9D-400F-8ADD-62A491FF43E5},POINT (-114.0613952 51.1206474),2,4,261,4,158
Foundations for the Future Charter Academy Charter School Society,FFCA High School Campus,2116 McKay Road N.W.,T3B1C7,Calgary,AB,(403) 243-3316,,wanda.amundson@ffca-calgary.com,Junior High/Senior High,N,N,N,Y,Y,{AB095771-E088-418D-9B19-B0C91E951018},POINT (-114.1518221 51.0702014),13,2,24,7,239
The Calgary Roman Catholic Separate School Division,St. Hubert Elementary School,320 - 72 Avenue N.E.,T2K5J3,Calgary,AB,(403) 500-2067,,sthubert@cssd.ab.ca,Elementary,N,N,Y,N,N,{6D5CFBF9-B5E1-411F-AA58-F652CCA82738},POINT (-114.0622133 51.1183759),2,4,261,4,158
The Calgary School Division,Canyon Meadows School,395 Canterbury Dr SW,T2W1J1,Calgary,AB,(403) 777-8600,,canyonmeadows@cbe.ab.ca,Elementary,N,N,Y,N,N,{CA4A09B8-F548-4016-86C1-74A270BA8FB8},POINT (-114.0780912 50.9474104),5,1,283,6,24
The Calgary Roman Catholic Separate School Division,Bishop Kidd School,1420 - 28 Street S.E.,T2A0Y8,Calgary,AB,(403) 500-2052,,bishop.kidd@cssd.ab.ca,Junior High,N,N,N,Y,N,{5AC500B2-0ACA-490F-839C-E82954775A6C},POINT (-113.9921286 51.0405768),12,3,121,11,264
The Calgary School Division,Hillhurst School,1418  7 Ave NW,T2N0Z2,Calgary,AB,(403) 777-6360,,hillhurst@cbe.ab.ca,Elementary,N,N,Y,N,N,{25E215E7-AE3F-48C1-89EB-481019B74CC5},POINT (-114.0931372 51.0592948),7,2,40,7,285
Janus Academy Society,Janus Academy,200 - 403 33 Street NE,T2A1X5,Calgary,AB,(403) 262-3333,,janus.contact@janusacademy.org,Elementary/Junior High,N,N,Y,Y,N,{4F979179-672F-4343-A220-93648914CDCE},POINT (-113.9875326 51.0553661),12,4,84,3,213
The Calgary School Division,The Hamptons School,10330 Hamptons Blvd NW,T3A6G2,Calgary,AB,(403) 777-7300,,hamptons@cbe.ab.ca,Elementary,N,N,Y,N,N,{6079B352-4E93-49EA-B91A-03452BB1FEDC},POINT (-114.148507 51.1434457),3,2,286,10,27
The Calgary Roman Catholic Separate School Division,St. Anne Academic Centre,1010 - 21 Avenue S.E.,T2G1N2,Calgary,AB,(403) 500-2012,,stanne@cssd.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{8C3506D3-F72A-47D2-9189-FE4E88A14376},POINT (-114.0389181 51.0351393),10,3,132,11,193
The Calgary School Division,Marlborough School,4711 Maryvale Dr NE,T2A3A1,Calgary,AB,(403) 777-8190,,marlborough@cbe.ab.ca,Elementary,N,N,Y,N,N,{51A75683-983C-4D84-8140-1592970CC25F},POINT (-113.9654996 51.0560836),12,4,77,3,80
The Calgary Roman Catholic Separate School Division,St. Thomas Aquinas School,4540 - 26 Avenue S.W.,T3E0R1,Calgary,AB,(403) 500-2027,,stthomasaquinas@cssd.ab.ca,Elementary,N,N,Y,N,N,{ED0D7B79-5B36-4F9B-8A1D-06C57AD24D9D},POINT (-114.1518544 51.0309722),1,1,41,14,286
The Calgary School Division,Panorama Hills School,1057 Panorama Hills Dr NW,T3K0S4,Calgary,AB,(403) 777-6061,,panoramahills@cbe.ab.ca,Elementary,N,N,Y,N,N,{AD42E077-5A99-4EB1-A5A2-5BA7AD332DA9},POINT (-114.0859214 51.155814),11,2,235,12,95
The Calgary School Division,West View School,Calgary Young Offender Centre  12626 - 85 Street N.W.,T3R1J3,Calgary,AB,(403) 662-3547,,westview@cbe.ab.ca,Junior High/Senior High,N,N,N,Y,Y,{9B749DEA-6270-48C4-BF91-0789B0BB67C6},POINT (-114.2080136 51.1655306),3,2,204,10,102
The Calgary School Division,Start Outreach,3610 9th Street SE,T3B5C2,Calgary,AB,(403) 777-6107,,discoveringchoices@cbe.ab.ca,Senior High,N,N,N,N,Y,{BD5D9C0C-A1AB-4CA7-9778-343B6C10AD1B},POINT (-114.2019032 51.0894295),13,2,149,9,77
The Calgary School Division,Roland Michener School,5958  4 Ave NE,T2A4B1,Calgary,AB,(403) 777-8240,,rolandmichener@cbe.ab.ca,Elementary,N,N,Y,N,N,{8C43AF56-EB8B-4FD0-9015-7FDA577D8349},POINT (-113.9473997 51.0570194),12,4,33,3,246
The Calgary Roman Catholic Separate School Division,St. Brigid,"730 Citadel Way, N.W.",T3G5S6,Calgary,AB,(403) 500-2113,,stbrigid@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{686D8F0A-9083-4059-BE82-B27AA3C0A1F7},POINT (-114.1877229 51.1463403),3,2,247,10,177
The Southern Francophone Education Region,École de la Source,360 - 94 Avenue S.E.,T2J0E8,Calgary,AB,(403) 255-6724,,,Elementary/Junior High,N,N,Y,Y,N,{2619217E-00AB-4FC3-ADEB-856BC3B9CAF9},POINT (-114.0618249 50.969234),10,3,174,5,81
Westmount Charter School Society,Westmount Mid/High School,2215 Uxbridge Dr. N.W.,T2N4Y3,Calgary,AB,,,mhadmin@westmountcharter.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{2F697459-4221-4B49-9F38-B6A4E944C5DE},POINT (-114.1325128 51.0710476),13,2,274,7,61
The Calgary School Division,Bishop Pinkham School,3304  63 Ave SW,T3E5K1,Calgary,AB,(403) 777-7840,,bishoppinkham@cbe.ab.ca,Junior High,N,N,N,Y,N,{24D50D4C-1325-46B5-8CFE-D1D493F3BB99},POINT (-114.1306992 50.997263),8,1,129,5,266
The Calgary Roman Catholic Separate School Division,St. Boniface Elementary School,927 Lake Sylvan Drive S.E.,T2J2P8,Calgary,AB,(403) 500-2060,,stboniface@cssd.ab.ca,Elementary,N,N,Y,N,N,{C8DABC17-2723-4B87-A7F2-5C2872DC6753},POINT (-114.0423413 50.9430637),6,3,267,13,123
The Calgary School Division,Annie Foote School,6320 Temple Dr NE,T1Y5V5,Calgary,AB,(403) 777-6680,,anniefoote@cbe.ab.ca,Elementary,N,N,Y,N,N,{C2A9FFAC-0DC0-4063-8364-8EF1961334D9},POINT (-113.9403303 51.0859886),9,4,22,3,237
The Calgary School Division,North Trail High School,12500 Harvest Hills Blvd. NE,T3K2S3,Calgary,AB,(403) 817-4000,,schoolimprovement@cbe.ab.ca,Junior High/Senior High,N,N,N,Y,Y,{EDCFB302-2C53-4818-84C7-873D9FA1844D},POINT (-114.0664551 51.1675814),11,4,251,12,8
The Calgary Roman Catholic Separate School Division,Monsignor E. L. Doyle Elementary School,8887 Scurfield Drive NW,T3L1H6,Calgary,AB,(403) 500-2098,,,Elementary,N,N,Y,N,N,{A748E3C9-739D-4DDB-977A-C42D1EB4754E},POINT (-114.2164244 51.1220284),13,2,148,9,48
The Calgary School Division,Dr. Freda Miller School,211 Everbrook Dr SW,T2Y0E8,Calgary,AB,(403) 817-3428,,drfredamiller@cbe.ab.ca,Elementary,N,N,Y,N,N,{37FEAEE1-E357-4661-9E6C-730E48B970BF},POINT (-114.1160186 50.9208504),5,1,39,6,257
The Calgary Roman Catholic Separate School Division,St. Rupert School,111 Rundlehill Drive N.E.,T1Y2W9,Calgary,AB,(403) 500-2044,,strupert@cssd.ab.ca,Elementary,N,N,Y,N,N,{31841557-F5B1-4C7E-A4A7-81A36CABA864},POINT (-113.9705266 51.0769132),9,4,34,3,291
The Calgary Roman Catholic Separate School Division,Holy Trinity School,1717 - 41 Street S.E.,T2A1L2,Calgary,AB,(403) 500-2032,,holytrinity@cssd.ab.ca,Elementary,N,N,Y,N,N,{802C1AC3-EA51-4CF5-8CF6-45B23531F4A8},POINT (-113.9749456 51.03897),12,3,85,11,211
The Calgary School Division,Guy Weadick School,5612 Templehill Rd NE,T1Y4W7,Calgary,AB,(403) 777-6740,,guyweadick@cbe.ab.ca,Elementary,N,N,Y,N,N,{0C9C1CBC-DDCC-4EC1-8148-E6021DC1B5F1},POINT (-113.9529749 51.0869883),9,4,22,3,237
Neriah Christian School Society of the Netherlands Reformed Congregation,Neriah Christian School,400 Midpark BLVD,T2X2K4,Calgary,AB,(587) 317-6805,,darlene.dekker@neriahcs.ca,Elementary/Junior High,N,N,Y,Y,N,{6FD91A97-CF22-4BA4-835E-4C74C760737D},POINT (-114.0588078 50.90852),6,3,263,13,161
The Calgary School Division,Bob Edwards School,4424 Marlborough Dr NE,T2A2Z5,Calgary,AB,(403) 777-7770,,bobedwards@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{510C03C2-1200-401F-BD24-18B5349323E5},POINT (-113.9687737 51.0599294),12,4,77,3,80
The Calgary School Division,Dr. E. W. Coffin School,5615 Barrett Dr NW,T2L1W4,Calgary,AB,(403) 777-6190,,drewcoffin@cbe.ab.ca,Elementary,N,N,Y,N,N,{957EDF9F-B26B-4D09-8174-16933F2B432E},POINT (-114.1347991 51.1037526),7,2,50,4,280
The Canadian Reformed School Society of Calgary,Tyndale Christian School,28 Hart Estates Blvd. NE,T1X0L3,Calgary,AB,(403) 590-5881,,tcs@tyndalecalgary.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{EF252AFA-09D2-4CF8-BDC6-BE2D1A161E44},POINT (-113.8677457 51.0586339),12,4,179,11,84
Ahmadiyya Muslim Schools Society Alberta,Ahmadiyya Muslim School,4353,T3J4L3,Calgary,AB,(403) 355-6313,,info.calgary@ahmadiyyaschool.ca,Elementary/Junior High,N,N,Y,Y,N,{734F2F9B-1161-4520-99AB-C0FEE6CA9DFA},POINT (-113.9712639 51.1018352),9,4,80,1,225
The Palliser School Division,Master's College,4414 Crowchild Trail SW,T2T5J4,Calgary,AB,(403) 242-7034,,,Junior High/Senior High,N,N,N,Y,Y,{D782B939-71B3-42EE-ABB5-CA8D789C6BDD},POINT (-114.1165458 51.0153024),8,1,201,2,267
The Calgary School Division,Highwood School,11 Holmwood Ave NW,T2K2G5,Calgary,AB,(403) 777-6200,,highwood@cbe.ab.ca,Elementary,N,N,Y,N,N,{9E8B92E0-C35C-4A3D-94C9-518B5BA31262},POINT (-114.0765328 51.0922436),7,2,37,4,295
The Calgary School Division,CLS Lord Shaughnessy Writing Centre,2336 53 Ave SW,T3E1L2,Calgary,AB,(403) 777-7272,,chinooklearning@cbe.ab.ca,Unknown,N,N,N,N,N,{2FBB0DFE-588C-4593-A6BA-347102AF5A97},POINT (-114.1139277 51.0065169),8,1,122,5,265
The Calgary School Division,Cambrian Heights School,640 Northmount Dr NW,T2K3J5,Calgary,AB,(403) 777-6150,,cambrianheights@cbe.ab.ca,Elementary,N,N,Y,N,N,{B72C7287-7732-4C78-8A5B-BC23EBB10A7E},POINT (-114.0879744 51.0853517),7,2,276,4,66
The Calgary School Division,Collingwood School,3826 Collingwood Dr NW,T2L0R6,Calgary,AB,(403) 777-6180,,collingwood@cbe.ab.ca,Elementary,N,N,Y,N,N,{766E0504-330B-45D3-96D6-0155AA0ABAF1},POINT (-114.1032575 51.0857819),7,2,214,4,108
The Calgary Roman Catholic Separate School Division,Our Lady of the Rockies High School,111 Haddon Road S.W.,T2V2Y2,Calgary,AB,(403) 500-2047,,ourladyoftherockies@cssd.ab.ca,Senior High,N,N,N,N,Y,{8E0FDC14-D3CE-4F6B-B540-D502649409E5},POINT (-114.078741 50.9754378),8,1,195,5,167
The Calgary School Division,Project Trust,3610 - 9th Street SE,T2M4P6,Calgary,AB,(403) 777-6107,,discoveringchoices@cbe.ab.ca,Unknown,N,N,N,N,N,{1264567C-7003-421E-A32D-D75B983151B1},POINT (-114.0828403 51.0720702),7,2,17,7,256
Alberta Classical Academy Ltd.,Calgary Classical Academy Currie Campus,2415 Battleford Ave SW,T3E7K9,Calgary,AB,(587) 885-3688,,info@classicalacademy.ca,Elementary/Junior High,N,N,Y,Y,N,{5414B219-C0B7-4C02-A779-CBB3473AC85C},POINT (-114.1190467 51.0176444),8,1,199,2,50
The Calgary Roman Catholic Separate School Division,St. Ambrose School,1500 Arbour Lake Road N.W.,T3G4X9,Calgary,AB,(403) 500-2100,,stambrose@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{A4843166-E5AE-45AE-BB9E-76E1626DFC4B},POINT (-114.2061578 51.1334667),3,2,244,10,173
Clear Water Academy Foundation,Clear Water Academy,3910 Quesnay Wood Drive SW,T3E8G1,Calgary,AB,(403) 217-8448,,btomiak@clearwateracademy.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{6020A980-690F-4349-BF1D-6DC7BFCDC979},POINT (-114.1230926 51.0188767),8,1,199,2,50
The Calgary School Division,Dr. Roberta Bondar School,1580 Strathcona Dr SW,T3H5B1,Calgary,AB,(403) 817-3564,,drrobertabondar@cbe.ab.ca,Elementary,N,N,Y,N,N,{B2ED2C0B-B8D4-429B-B0F4-472F8D98FBB8},POINT (-114.2055305 51.0503367),1,1,67,14,20
The Prairie Land School Division,Al-Amal Academy,9 Royal Vista Drive NW,T3R0N2,Calgary,AB,(825) 996-5399,,al-amal.academy@plrd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{79A108A6-ADB6-441C-A5D9-46FE2E61D047},POINT (-114.2075428 51.1507322),3,2,157,9,105
The Canadian Montessori School Ltd.,Canadian Montessori School,1112 70 Avenue S.W.,T2V0P6,Calgary,AB,(403) 862-8551,,admin@calgarymontessorischool.com,Elementary,N,N,Y,N,N,{56CB707E-197B-4203-A1B4-218A7B800AC2},POINT (-114.0882622 50.9907447),8,1,29,5,243
Calgary Academy Society,Calgary Academy Collegiate,1677 - 93rd Street S.W.,T3H0R3,Calgary,AB,(403) 686-6444,,info@calgaryacademy.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{952D7BC4-633F-4D80-853B-84A46ACDD54D},POINT (-114.2243772 51.0394313),1,1,48,14,284
The Calgary School Division,Ernest Manning High School,20 Springborough Blvd SW,T3H0N7,Calgary,AB,(403) 249-3131,,ernestmanning@cbe.ab.ca,Senior High,N,N,N,N,Y,{818DA861-7A17-4D0F-85D9-CCBE828B28E2},POINT (-114.1892353 51.035957),1,1,289,14,22
The Calgary School Division,Sir Winston Churchill High School,5220 Northland Dr NW,T2L2J6,Calgary,AB,(403) 289-9241,,sirwinstonchurchill@cbe.ab.ca,Senior High,N,N,N,N,Y,{1F594A19-555D-447B-A49F-66AD9E21E56C},POINT (-114.13999 51.1001127),7,2,50,4,280
The Calgary School Division,Simon Fraser School,5215  33 St NW,T2L1V3,Calgary,AB,(403) 777-7290,,simonfraser@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{9C446356-E147-4CA6-B01C-96CB526DD907},POINT (-114.1365505 51.1003194),7,2,50,4,280
The Calgary School Division,Dr. George Stanley School,585 Cranston Dr SE,T3M0J4,Calgary,AB,(403) 817-3556,,drgeorgestanley@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{F722C4E0-067E-48D4-8EBA-28C0BB1DA755},POINT (-113.9782889 50.8827772),4,3,294,8,82
The Calgary School Division,Captain John Palliser School,1484 Northmount Dr NW,T2L0G6,Calgary,AB,(403) 777-6170,,captainjohnpalliser@cbe.ab.ca,Elementary,N,N,Y,N,N,{2977B3F3-372C-4EF5-8D21-C62231BD052E},POINT (-114.1360161 51.0963649),7,2,50,4,280
The Calgary Roman Catholic Separate School Division,Notre Dame High School,11900 Country Village Link NE,T3K6E4,Calgary,AB,(403) 500-2109,,notredame@cssd.ab.ca,Senior High,N,N,N,N,Y,{7648301D-827B-49D3-858A-019A1B2A5C59},POINT (-114.0658203 51.1576509),11,4,264,12,112
The Gilbertine Institute of Catholic Studies,The Gilbertine Academy,1423 8 Ave SE,T2G0N1,Calgary,AB,(866) 361-3650,,admin@gilbertineinstitute.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{0E011DAE-2CB5-41EE-85DB-B234A904D9DE},POINT (-114.0292505 51.0400236),10,3,54,11,54
The Calgary School Division,Somerset School,150 Somerset Manor SW,T2Y4S2,Calgary,AB,,,somerset@cbe.ab.ca,Elementary,N,N,Y,N,N,{146691DC-09F2-479D-AF0D-4E87C720E54C},POINT (-114.0848851 50.8974058),5,1,55,6,125
The Calgary Roman Catholic Separate School Division,St. Clare,"12455 Coventry Hills Way, N.E.",T3K5Z4,Calgary,AB,(403) 500-2102,,stclare@cssd.ab.ca,Elementary,N,N,Y,N,N,{985A269C-3158-40C0-9CC0-0F7A4746B166},POINT (-114.0453956 51.1647425),11,4,251,12,8
Hellenic Society of Calgary and District,Greek Community School,1 Tamarac Crescent S.W.,T3C3B7,Calgary,AB,(403) 246-4553,,greekschool@calgaryhellenic.com,Senior High,N,N,N,N,Y,{06FA9B67-4489-4146-8987-C515D28145B8},POINT (-114.1374937 51.0481739),14,1,118,2,259
The Calgary Roman Catholic Separate School Division,All Saints School,729 Legacy Village Rd SE,T2X4K9,Calgary,AB,(403) 500-2133,,allsaints@cssd.ab.ca,Senior High,N,N,N,N,Y,{BCD7BA59-98D7-4FC9-A78F-F45B1817BD7D},POINT (-114.026751 50.8593286),6,3,99,13,159
The Calgary School Division,McKenzie Highlands School,25 McKenzie Towne Dr SE,T2Z4B7,Calgary,AB,(403) 817-3544,,mckenziehighlands@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{251565A1-3646-4010-A8A5-0EEA80857599},POINT (-113.9700732 50.9109937),4,3,46,8,287
The Calgary School Division,Queen Elizabeth School,402 18 St NW,T2N2G5,Calgary,AB,(403) 777-6789,,queenelizabethelem@cbe.ab.ca,Elementary,N,N,Y,N,N,{D88D0D37-8F0D-4A5E-8E7F-8ACE3253C9EC},POINT (-114.1019611 51.0554584),7,2,40,7,285
The Calgary Roman Catholic Separate School Division,Light of Christ Catholic School,6270 Saddlehorn Dr. N.E.,T3J0L8,Calgary,AB,(403) 500-2121,,lightofchrist@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{EB1BF7C5-015D-4A2F-B2D9-DBE364F81506},POINT (-113.9412735 51.1295372),11,4,2,1,143
The Calgary School Division,Altadore School,4506  16 St SW,T2T4H9,Calgary,AB,(403) 777-6910,,altadore@cbe.ab.ca,Elementary,N,N,Y,N,N,{44F5A050-221A-47E7-B8C1-DFF9EDB78264},POINT (-114.0997332 51.0140027),8,1,200,2,267
